geneID	pathway
67967	purine_metabolism
68695	purine_metabolism
69241	purine_metabolism
69745	purine_metabolism
69833	purine_metabolism
69870	purine_metabolism
69920	purine_metabolism
70408	purine_metabolism
70428	purine_metabolism
70881	purine_metabolism
71701	purine_metabolism
72090	purine_metabolism
66681	purine_metabolism
74167	purine_metabolism
74414	purine_metabolism
75456	purine_metabolism
75533	purine_metabolism
76025	purine_metabolism
76952	purine_metabolism
78600	purine_metabolism
78801	purine_metabolism
78929	purine_metabolism
79059	purine_metabolism
94041	purine_metabolism
13077	caffeine_metabolism
13085	caffeine_metabolism
13086	caffeine_metabolism
13087	caffeine_metabolism
17960	caffeine_metabolism
17961	caffeine_metabolism
17962	caffeine_metabolism
22262	caffeine_metabolism
22436	caffeine_metabolism
103149	pyrimidine_metabolism
103850	pyrimidine_metabolism
107569	pyrimidine_metabolism
110074	pyrimidine_metabolism
12495	pyrimidine_metabolism
12497	pyrimidine_metabolism
12499	pyrimidine_metabolism
13178	pyrimidine_metabolism
16434	pyrimidine_metabolism
171567	pyrimidine_metabolism
18102	pyrimidine_metabolism
18103	pyrimidine_metabolism
18950	pyrimidine_metabolism
18968	pyrimidine_metabolism
18969	pyrimidine_metabolism
18971	pyrimidine_metabolism
18972	pyrimidine_metabolism
18973	pyrimidine_metabolism
18974	pyrimidine_metabolism
19075	pyrimidine_metabolism
19076	pyrimidine_metabolism
20016	pyrimidine_metabolism
20017	pyrimidine_metabolism
20018	pyrimidine_metabolism
20019	pyrimidine_metabolism
20020	pyrimidine_metabolism
20021	pyrimidine_metabolism
20022	pyrimidine_metabolism
20133	pyrimidine_metabolism
20135	pyrimidine_metabolism
215446	pyrimidine_metabolism
21877	pyrimidine_metabolism
218832	pyrimidine_metabolism
21915	pyrimidine_metabolism
22169	pyrimidine_metabolism
22171	pyrimidine_metabolism
22245	pyrimidine_metabolism
22247	pyrimidine_metabolism
22271	pyrimidine_metabolism
230718	pyrimidine_metabolism
231329	pyrimidine_metabolism
23959	pyrimidine_metabolism
245841	pyrimidine_metabolism
26462	pyrimidine_metabolism
26939	pyrimidine_metabolism
28071	pyrimidine_metabolism
320685	pyrimidine_metabolism
331487	pyrimidine_metabolism
382985	pyrimidine_metabolism
50493	pyrimidine_metabolism
50773	pyrimidine_metabolism
54369	pyrimidine_metabolism
55936	pyrimidine_metabolism
56248	pyrimidine_metabolism
56520	pyrimidine_metabolism
56749	pyrimidine_metabolism
57813	pyrimidine_metabolism
59001	pyrimidine_metabolism
64424	pyrimidine_metabolism
64705	pyrimidine_metabolism
66136	pyrimidine_metabolism
66401	pyrimidine_metabolism
66420	pyrimidine_metabolism
66491	pyrimidine_metabolism
66588	pyrimidine_metabolism
667034	pyrimidine_metabolism
66979	pyrimidine_metabolism
67005	pyrimidine_metabolism
67065	pyrimidine_metabolism
100862375	pyrimidine_metabolism
67486	pyrimidine_metabolism
67710	pyrimidine_metabolism
67967	pyrimidine_metabolism
68556	pyrimidine_metabolism
69241	pyrimidine_metabolism
69719	pyrimidine_metabolism
69745	pyrimidine_metabolism
69833	pyrimidine_metabolism
69870	pyrimidine_metabolism
69920	pyrimidine_metabolism
70408	pyrimidine_metabolism
70428	pyrimidine_metabolism
70881	pyrimidine_metabolism
71701	pyrimidine_metabolism
72090	pyrimidine_metabolism
72269	pyrimidine_metabolism
72962	pyrimidine_metabolism
74414	pyrimidine_metabolism
75533	pyrimidine_metabolism
76025	pyrimidine_metabolism
76654	pyrimidine_metabolism
76952	pyrimidine_metabolism
78929	pyrimidine_metabolism
79059	pyrimidine_metabolism
80914	pyrimidine_metabolism
99586	pyrimidine_metabolism
100470	alanine_aspartate_and_glutamate_metabolism
108682	alanine_aspartate_and_glutamate_metabolism
109900	alanine_aspartate_and_glutamate_metabolism
11484	alanine_aspartate_and_glutamate_metabolism
11564	alanine_aspartate_and_glutamate_metabolism
11565	alanine_aspartate_and_glutamate_metabolism
11566	alanine_aspartate_and_glutamate_metabolism
11611	alanine_aspartate_and_glutamate_metabolism
